Who / What,Use case,Description,Sense,Remember,Create,Decide,Learn,Illuminate network,Incentivize,Feed,Collaborate (Module),Connect,Curate,Collaborate (AI),Compute,Community,Market,Ecosystem,"Democratic ""voting""",Democracy,Consumer / retail,Healthcare,"Public sector, NGO","Manufacturing hardw., Infra",High Tech (software),Financial services,Professional services,"Media, telco, entertainment",Agriculture,"Energy, nat. resources",Education and academia,"Supply chain, real estate"
Customer support ,Nurture communities of experts that complement in-house customer interaction teams,Nurture communities of experts that complement your in-house customer interaction teams. Use deep semantic analysis to understand trends. Ensure that product management teams are connected in a bi-directional way so that they can learn from new queries and help create knowledge artifacts to feed the distributed problem solvers.,2.0,2.0,,,1.0,1.0,1.0,2.0,1.0,,1.0,1,,1.0,,,,,,,,,,,,,,,,
Quantopian,Data science crowdsourcing ,"Community with large number of quantitatively skilled analysts enabling crowdsourced data science, running competitions. Closed in 2020, and assets were transferred to low-fee financial trading platform Robinhood. ",,,2.0,1.0,,1.0,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,
UpCounsel,Obtain legal support,"Hyperconnectivity and the ability to inventory and quality-control millions of people at minimal marginal cost has changed its dynamics radically, effectively surfacing the cognitive surplus of millions of people and reshaping many jobs. Platforms have in many respects created the current “gig economy” movement, and they increasingly show specialization of roles where very specific expertise is harnessed in a way that wasn’t possible before – an idea first publicized by MIT’s Malone and colleagues in 2011",,2.0,,,,1.0,1.0,,1.0,1,,1,,,1.0,,,,,,,,,,1.0,,,,,
eSports and Multiplayer Gaming,Use eSports and Multiplayer video games to attract millions,"Better network connectivity and faster processors have led to the emergence of massive global networks of players, part of them becoming professionals and influencers who tap into actual and lucrative markets. League of Legends is an example. The dynamics of the games, including novel strategies, are integral part of the entertainment, the training of the respective AI, and the future development of the games ",1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1,,1,2.0,2.0,,,,,1.0,,,,,,,1.0,,,,
Timerepublik,Barter time in a peer to peer marketplace,Experts barter time and are matched to requests for help related to their area of expertise. Time is used as a currency. ,,1.0,1.0,,,1.0,1.0,,1.0,1,,1,,,1.0,,,,,,,,,,1.0,,,,,
Turo,Share cars,"The AirBnB of cars, where participants give their car to qualified users, and get paid for the use of their assets during its downtime. Possibly extensible to other forms of transportation. ",,,,1.0,,1.0,1.0,,1.0,2,,1,,,2.0,,,,1.0,,,,,,,,,,,1.0
DrivenData.org,Use data science competitions for social impact,"DrivenData is a social enterprise dedicated to bringing the data tools and methods that are transforming industry to the world's biggest challenges. As part of that work, the DrivenData competition platform channels the skills and passion of data scientists, researchers, and other quantitative experts to build solutions for social good. These online machine learning challenges are designed to engage a large expert community, connect participants with real-world data problems, and highlight their best solutions.",,,1.0,,1.0,1.0,1.0,,1.0,1,1.0,1,1.0,1.0,1.0,,,,,,1,,,,,,,,,
HeroX,Provide a platform for social-impact crowdsourcing innovation,"HeroX is a platform and open marketplace for crowdsourcing innovation and human ingenuity, co-founded in 2013 by serial entrepreneur, Christian Cotichini and XPRIZE Founder and Futurist, Peter Diamandis. HeroX offers a turnkey, easy-to-use platform that supports anyone, anywhere, to solve everyday business and world challenges using the power of the crowd. Uniquely positioned as the Social Network for Innovation, HeroX is positioned as ""the only place you can build, grow and curate your very own crowd.""",,,1.0,,1.0,1.0,1.0,,1.0,1,1.0,1,1.0,1.0,1.0,,,,,,1,,,,,,,,,
Joro,Reduce personal carbon footprint,"Joro.app helps consumer track their personal carbon footprint by translating purchases data (from an API) into carbon tonnes equivalent. The app also has a community component, connecting users with sustainability challenges, classes and other educational tools, along with a social network to communicate with peers to track relative progress (Source: TechCrunch). ",1.0,,,1.0,1.0,1.0,1.0,,1.0,1,,1,1.0,1.0,,,,,,,,,1.0,,,,,,,
DecentralizedScience,Quality control and incentivize science,"Decentralized.science provides a public repository of Open Peer Reviews and a reviewers’ reputation network, and uses blockchain to maintain records. Decentralized science rewards good and fast peer reviews to increase the quality and productivity of academic research",1.0,,,2.0,2.0,1.0,1.0,2.0,1.0,,,,,2.0,,,,,,,,,,,,,,,1.0,
